impl,field_size,threads,throughput_gbps,latency_us,cycles,cache_misses,llc_misses,context_switches
a1,64,1,0.000095,43103.448,24248067,778880,28665,464
a1,64,2,0.000200,20491.803,45483473,1360008,56851,978
a1,64,4,0.000397,10309.278,91147078,2765365,109123,1941
a1,64,8,0.000795,5154.639,181394891,3867507,183635,3902
a1,256,1,0.000400,40983.607,24413698,1000642,36454,488
a1,256,2,0.000796,20576.132,46923719,1392460,62895,980
a1,256,4,0.001586,10330.579,89295607,2468947,112316,1943
a1,256,8,0.003172,5165.289,184581737,5201830,221223,3887
a1,1024,1,0.001586,41322.314,24909247,1096177,48465,485
a1,1024,2,0.003178,20618.557,48057635,1486495,75738,973
a1,1024,4,0.006357,10309.278,92354867,3402671,172435,1945
a1,1024,8,0.012701,5159.959,181864127,5412181,309277,3888
a1,4096,1,0.006344,41322.314,28137504,1001107,87245,485
a1,4096,2,0.012740,20576.132,53305880,2393427,209913,974
a1,4096,4,0.025480,10288.066,112148904,4393026,424946,1945
a1,4096,8,0.050751,5165.289,240356308,6698041,752973,3893
a2,64,1,0.270638,15.135,20210350775,284580,24664,660811
a2,64,2,0.402744,10.170,34367813648,461161,28445,983461
a2,64,4,0.535339,7.651,63432135845,581557,29966,1307026
a2,64,8,0.800126,5.119,105722872520,526575,34210,1954256
a2,256,1,0.985629,16.623,19559082665,259481,20748,601577
a2,256,2,1.505046,10.886,33284872114,518436,31186,918769
a2,256,4,1.978860,8.280,62220102196,750286,36082,1208095
a2,256,8,3.015629,5.433,101782543259,558115,33492,1845731
a2,1024,1,3.490172,18.777,19700948954,385711,31847,532625
a2,1024,2,4.649779,14.094,31415081032,4047083,416461,709561
a2,1024,4,6.629045,9.886,59078653467,6061375,324909,1011548
a2,1024,8,10.126131,6.472,88128010852,4211663,345744,1547907
a2,4096,1,9.020559,29.061,17290421376,2643600,336264,344114
a2,4096,2,13.421537,19.532,30156560915,4213007,453761,512013
a2,4096,4,20.192166,12.982,57301687198,10445100,461903,770327
a2,4096,8,33.389465,7.851,85800335723,7487175,520785,1277134
a3,64,1,0.173469,23.612,16437289459,4774520,330788,423498
a3,64,2,0.271001,15.114,30206191065,6204303,407504,661643
a3,64,4,0.375010,10.922,52621847779,9851452,593019,915752
a3,64,8,0.577091,7.098,76829537970,8398722,623046,1411919
a3,256,1,0.694911,23.577,16527295485,4573183,357233,424137
a3,256,2,1.057972,15.486,30345982971,7476343,495665,645904
a3,256,4,1.477075,11.092,52125600501,8154515,473226,901616
a3,256,8,2.332937,7.023,77547438124,7365185,608063,1425628
a3,1024,1,2.432945,26.937,16779359334,3869784,338056,371246
a3,1024,2,3.867358,16.946,30579951145,7043443,480954,590106
a3,1024,4,5.555821,11.796,54635215957,12537734,582627,847810
a3,1024,8,8.646256,7.580,78402837771,6844775,527953,1321110
a3,4096,1,6.792230,38.595,15353508280,5095577,337416,259114
a3,4096,2,11.045280,23.734,28376436679,11111778,521767,421374
a3,4096,4,16.078891,16.304,49343253232,23264403,754003,613751
a3,4096,8,26.603631,9.854,73900336292,12369092,892986,1017214
